review_uid,source_file,book_id,user_id_hash,rating,review_text,word_count,length_bucket,date_added,timestamp,has_spoiler,n_votes,n_comments
95a3d19a7bb3c4ea,goodreads_reviews_spoiler.json,12383252,dc8955fcc894b12d,3,"My husband and I call this series the train wreck we cannot look away from! (It's the only one like that we both read...) We loved the first few books, but the later ones... well, I think her speed in writing them has made the story suffer somewhat. Although this book had more police and less sex, it still had quite a bit of sex and some very disastrous relationship aspects. Richard is mentioned but never seen, Larry is nasty to her in public in front of other marshals, and at this point, if Hamilton killed off Asher I wouldn't complain. And no Jason! I love Jason - he and Nathaniel are my two favorite characters in the series. This book really was a lot more living in Anita's head and seeing how complicated her life has become, and while I enjoyed the book, I don't think it measures up to the earliest ones. There were also at least two places where entire paragraphs were repeated almost exactly - like she thought it would work in two different places, tried both, and forgot to remove one of them. So while I continue to read Anita Blake, I do it with library books rather than owning them. *end of rant*",211,long,,2012-08-05,True,,
5bbbed61a74c3c79,goodreads_reviews_spoiler.json,8621462,3753db4c3ffdbd51,5,"To be honest, I'm not sure how to classify this book. There are monsters, but it's not really horror. There is magic and dreaming, but it's not really fantasy. It's in that strange place between children's and YA fiction, but it is also mature enough for adult readers to get something out of reading it. I do know that I loved it unreservedly and will definitely read it again. Conor's mother is receiving treatment for cancer, he's being bullied at school, and he feels like he's been betrayed by his best friend. Patrick Ness writes a beautiful, poignant, heartbreaking, honest story about how Conor confronts his own personal monsters, aided by the help of the monster that was the yew tree growing in the church yard across the street. I can't think of anyone I wouldn't recommend this book to. I let it sit on my shelf for almost a year before reading it, and I regret that immensely. Read this book immediately. You'll be glad you did.",179,long,,2013-09-09,False,,
bc20a280254a68c2,goodreads_reviews_spoiler.json,19063,d049ca2e44cbb9d3,5,"I do not say this lightly: this is now my very favorite book I have ever read. I am a World War II historian. Since middle school, I have read more WWII books, fiction and nonfiction, than I can count. As a result, I normally separate out my emotion when reading WWII books. That's the only way you can really seriously studying the subject, without becoming depressed. But ""The Book Thief"" was one of the few WWII books I have read where I could not compartmentalize my emotion. Markuz Zusak's brilliant prose is just too strong, too heart-wrenching. Liesel, Hans, Rudy, are some of the most beautifully imagined characters I have read. His imagining of Hitler and his emphasis on Hitler's words represent some of the most insightful discussion of Hitler and the rise of Nazi Germany I have encountered in fiction. Death as narrator was moving, especially as Death discussed how busy WWII kept him, and how he caught the souls of Jews rising from chimneys. Zusak does things with words I have never seen another writer do. Which is appropriate, considering the emphasis on words in this book. ""The Word Shaker"" - the book Max, the Jew hidden in the basement, writes, is a powerful testament to how friendship and good acts can reverberate. This is a WWII book, but it is really much more than that. It's about the importance of love, warmth, loyalty, patience, and words.",244,long,,2017-01-01,False,,
930571e030ad61e5,goodreads_reviews_spoiler.json,25026403,1e05a61276362650,3,I loved Starflight so very much and my feelings on this book are hmmmmm.....,14,short,,2017-10-04,False,,
4999a7d52413bf4d,goodreads_reviews_spoiler.json,13602969,d7a00af8c8118540,4,"I liked this more than The Fox Inheritance, but less than Jenna Fox. Jenna Fox was a very character driven, thought-provoking story, while Inheritance had more of an action/mystery/thriller kind of vibe. I thought this was a good mix of the two, but it was still lacking something. Very powerful ending, though! Full review to come...",59,medium,,2013-04-28,False,,
40b6a082bd71cfbb,goodreads_reviews_spoiler.json,29904219,2299964531ba5c41,4,"I feel like as a graphic novel, I would have given it a 4.5 to 5 star. But it isn't, it's a novel, so... Here we go: To me, the writing felt ... off?. I didn't particularly like the way it was very simple and straight forward. Sometimes it can work just fine, but for me in this book it definitely felt like a point to improve on. The actual story took too long to come around so the first half felt flat and predictable. BUT do not think that this is not a good book; I actually really enjoyed it. Once the story got going, it was quite interesting. If some things were obvious, others were a pleasant surprise. It makes everyone question what is a hero, and what is a villain and that famous HP quote kept coming to me ""It is not our abilities that show what we truly are. It is our choices."" Anyway, nice lessons. If I'm being picky the 'villain' characters could be a little more 'grey' in their attitudes - but I think that can and will be looked into more through the next books. What makes it so great is the amazing and diverse cast of characters. Our main character is an Asian bisexual daughter of superheroes, who wants to help out even though she can't seem to develop any powers of her own. She just seems to be average at everything. But she really grew on me and I ended up loving her as a beautiful, caring, ambitious and lovely person. I loved how humane she actually felt (often the pb of teenage heroes in YA). Her interactions with her crush Abby were adorable and I couldn't help but smile so many times: CUTE CUTE CUTE. There's also a huge amount of POC representation, as well as a transgender character whom I loooove. Correct me if I'm wrong but the whole introduction to him seemed brilliant! Casual. And such amazing friendships between him, jess, as well as the other characters, with talks about gender pronouns, dysphoria and being comfortable. Knowing what he's now going through, and the fact that he will be the focus of the next book, I CAN NOT WAIT for it to come out!!!! Give it t me noooooooow.",389,long,,2017-01-12,False,,
d943e701f8d6f12f,goodreads_reviews_spoiler.json,17926775,956f3be026155fdb,4,"Wow. I'm surprised this was a debut novel. The writing is excellent. The plot unfolds at a perfect pace, revealing just enough to keep you guessing and believing that you think you know what's going to happen. Characters could use more depth, but as this is the first in a series, I'm hoping subsequent books will amend that issue. If my guesses are correct, this is a wonderful new twist on some old fairy tales/legends. I can't wait for the next installment, and the official release date isn't even here yet! Argh. Please write fast, Ms. Jensen. ARC provided for review by NetGalley",109,medium,,2014-03-06,False,,
d4693e97105c63d6,goodreads_reviews_spoiler.json,13928,d7525e7b18cc5925,0,"Thank you, Juliet Marillier, for making an epic bout of food poisoning less awful. I needed all the help I could get. Well, that and writing a great retelling if my favorite fairy tale growing up. But seriously, the first one is way more important.",45,medium,,2015-01-27,False,,
479ca937c6d54ca1,goodreads_reviews_spoiler.json,17701830,030a199afcb3bc65,1,"First read for me by this author, I won't be repeating the experience. I just couldn't get along with the writing style. It's trying to be too cute, and ends up feeling forced. The dialogue is flat and wooden, the characters are cardboard cutouts and have zero depth.",51,medium,,2015-04-09,False,,
3842908a0f951e45,goodreads_reviews_spoiler.json,17736067,d5c0328f318691e0,0,Ty and Zane are two among the few characters whose names I won't ever be able to forget. Review to come! My twin monster is read this with me. Thanks to her I have enough strength and will power to finish this series once and for all! :D,49,medium,,2016-08-23,False,,
0ec5e8c44427326c,goodreads_reviews_spoiler.json,25156016,85d3e5d8a1db7327,0,DNF at 38% I'm still wondering how this book got this rating...,13,short,,2016-07-31,False,,
